Country,City,AQI Value,AQI Category,CO AQI Value,CO AQI Category,Ozone AQI Value,Ozone AQI Category,NO2 AQI Value,NO2 AQI Category,PM2.5 AQI Value,PM2.5 AQI Category
Indonesia,Pamulang,201,Very Unhealthy,5,Good,201,Very Unhealthy,4,Good,161,Unhealthy
Indonesia,Pandaan,154,Unhealthy,3,Good,112,Unhealthy For Sensitive Groups,2,Good,154,Unhealthy
India,Pandavapura,23,Good,1,Good,23,Good,0,Good,21,Good
India,Pandharpur,99,Moderate,1,Good,31,Good,1,Good,99,Moderate
Mexico,Panotla,199,Unhealthy,3,Good,7,Good,13,Good,199,Unhealthy
India,Paravur,64,Moderate,1,Good,28,Good,0,Good,64,Moderate
Canada,Parksville,61,Moderate,1,Good,35,Good,1,Good,61,Moderate
United States Of America,Parlier,57,Moderate,1,Good,33,Good,5,Good,57,Moderate
Brazil,Parnamirim,24,Good,0,Good,20,Good,1,Good,24,Good
Estonia,Parnu,26,Good,1,Good,26,Good,1,Good,24,Good
United States Of America,Parole,34,Good,1,Good,34,Good,7,Good,34,Good
Indonesia,Parung,171,Unhealthy,4,Good,171,Unhealthy,2,Good,150,Unhealthy
India,Parvatipuram,143,Unhealthy For Sensitive Groups,2,Good,61,Moderate,1,Good,143,Unhealthy For Sensitive Groups
India,Pathardih,134,Unhealthy For Sensitive Groups,3,Good,82,Moderate,1,Good,134,Unhealthy For Sensitive Groups
Italy,Patti,56,Moderate,1,Good,46,Good,0,Good,56,Moderate
Guatemala,Patulul,103,Unhealthy For Sensitive Groups,4,Good,5,Good,12,Good,103,Unhealthy For Sensitive Groups
India,Phaphund,171,Unhealthy,4,Good,169,Unhealthy,1,Good,171,Unhealthy
United States Of America,Payson,57,Moderate,1,Good,30,Good,4,Good,57,Moderate
Brazil,Pedreira,56,Moderate,1,Good,6,Good,4,Good,56,Moderate
Portugal,Pedroucos,23,Good,1,Good,23,Good,5,Good,20,Good
China,Peking,123,Unhealthy For Sensitive Groups,3,Good,109,Unhealthy For Sensitive Groups,8,Good,123,Unhealthy For Sensitive Groups
Sri Lanka,Peliyagoda,71,Moderate,0,Good,23,Good,1,Good,71,Moderate
India,Baindur,66,Moderate,0,Good,27,Good,0,Good,66,Moderate
Spain,Balaguer,51,Moderate,1,Good,31,Good,1,Good,51,Moderate
Kazakhstan,Balykshi,41,Good,1,Good,41,Good,0,Good,7,Good
Thailand,Ban Bung,43,Good,0,Good,16,Good,2,Good,43,Good
Indonesia,Banjar,75,Moderate,1,Good,46,Good,0,Good,75,Moderate
